gameId,MATCHUP,GAME_DATE,WL,Q1_diff,Q2_diff,Q3_diff,Q4_diff
0022500066,HOU @ GSW,"NOV 26, 2025",W,-3,-9,10,6
0022500290,HOU @ PHX,"NOV 24, 2025",W,7,2,0,13
0022500054,HOU vs. DEN,"NOV 21, 2025",L,-13,16,-5,-1
0022500255,HOU @ CLE,"NOV 19, 2025",W,14,3,-13,6
0022500236,HOU vs. ORL,"NOV 16, 2025",W,-7,-2,6,3
0022500042,HOU vs. POR,"NOV 14, 2025",W,9,0,5,10
0022500218,HOU vs. WAS,"NOV 12, 2025",W,11,16,-11,7
0022500191,HOU @ MIL,"NOV 09, 2025",W,-2,-9,8,10
0022500032,HOU @ SAS,"NOV 07, 2025",L,2,-3,-3,-7
0022500176,HOU @ MEM,"NOV 05, 2025",W,12,-3,5,1
0022500160,HOU vs. DAL,"NOV 03, 2025",W,-4,7,0,5
0022500146,HOU @ BOS,"NOV 01, 2025",W,13,5,7,2
0022500131,HOU @ TOR,"OCT 29, 2025",W,9,-2,8,3
0022500116,HOU vs. BKN,"OCT 27, 2025",W,17,-6,15,2
0022500093,HOU vs. DET,"OCT 24, 2025",L,1,-8,6,-3
0022500001,HOU @ OKC,"OCT 21, 2025",L,3,3,-2,-4
